epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2278,1.62339,5.69712,0.00662,0.02679,0.00752,0.01459,0.01459,1.28088,5.58295,0.00406,4.545e-05,4.545e-05,4.545e-05
2,36.5065,1.44543,5.36282,0.00484,0.35563,0.0401,0.07156,0.06386,1.12784,4.24692,0.00381,9.80102e-05,9.80102e-05,9.80102e-05
3,43.1441,1.29958,4.51547,0.00506,0.5369,0.157,0.1191,0.08833,1.16845,3.45513,0.00405,0.000148411,0.000148411,0.000148411
4,49.896,1.36251,3.93282,0.00551,0.76519,0.23258,0.19544,0.1389,1.21557,3.41746,0.00432,0.000196651,0.000196651,0.000196651
5,61.1484,1.34484,3.13441,0.00497,0.78548,0.26028,0.23821,0.16336,1.25206,2.76662,0.00454,0.000242732,0.000242732,0.000242732
6,67.8688,1.29055,2.63514,0.00476,0.84169,0.23686,0.25051,0.17604,1.19474,2.15609,0.00408,0.000286653,0.000286653,0.000286653
7,76.3266,1.25004,2.49087,0.00495,0.81743,0.25692,0.2415,0.16589,1.27518,2.22389,0.00479,0.000328414,0.000328414,0.000328414
8,82.503,1.36393,2.31576,0.00581,0.86379,0.22289,0.26627,0.18231,1.25991,1.81402,0.0047,0.000368016,0.000368016,0.000368016
9,93.5624,1.32851,2.10178,0.00508,0.69375,0.26861,0.28624,0.19034,1.3587,1.63886,0.00566,0.000405458,0.000405458,0.000405458
10,100.679,1.29392,2.3231,0.00518,0.71744,0.25492,0.29584,0.18859,1.37191,1.66227,0.00545,0.00044074,0.00044074,0.00044074
11,106.947,1.3276,1.92476,0.00524,0.69398,0.29075,0.3382,0.21206,1.46817,1.61811,0.00612,0.000473862,0.000473862,0.000473862
12,114.003,1.33693,1.81141,0.00513,0.53516,0.32863,0.34161,0.21936,1.3108,1.50205,0.00496,0.000504824,0.000504824,0.000504824
13,125.161,1.40291,1.72821,0.00558,0.7041,0.32811,0.33093,0.21599,1.40048,1.4672,0.00535,0.000533627,0.000533627,0.000533627
14,131.508,1.38899,1.62506,0.00469,0.63959,0.33244,0.34746,0.22924,1.36216,1.48136,0.00517,0.000560269,0.000560269,0.000560269
15,138.485,1.39065,1.66028,0.00566,0.68731,0.31505,0.3699,0.23908,1.39284,1.42786,0.00561,0.000584752,0.000584752,0.000584752
16,145.217,1.46735,1.52976,0.00539,0.68673,0.31091,0.37978,0.23071,1.44071,1.40059,0.00549,0.000607076,0.000607076,0.000607076
17,151.602,1.33488,1.47991,0.0046,0.67292,0.30808,0.37184,0.23329,1.42618,1.46767,0.0055,0.000621029,0.000621029,0.000621029
18,157.914,1.32845,1.48693,0.00494,0.85491,0.29501,0.37332,0.24114,1.41613,1.39132,0.00549,0.000603031,0.000603031,0.000603031
19,165.264,1.30295,1.45919,0.00544,0.86401,0.30768,0.3689,0.23978,1.39493,1.40489,0.00544,0.000585032,0.000585032,0.000585032
20,171.518,1.28337,1.31954,0.00479,0.64815,0.32959,0.37237,0.24791,1.36295,1.39565,0.00519,0.000567034,0.000567034,0.000567034
21,178.176,1.34509,1.27613,0.00488,0.59477,0.40685,0.36544,0.23453,1.3707,1.36824,0.00524,0.000549036,0.000549036,0.000549036
22,184.35,1.37717,1.31081,0.00501,0.83676,0.36695,0.41167,0.26389,1.37404,1.27267,0.00562,0.000531038,0.000531038,0.000531038
23,196.117,1.32167,1.34871,0.00435,0.85976,0.34379,0.41572,0.27301,1.36872,1.22421,0.00534,0.00051304,0.00051304,0.00051304
24,208.539,1.24445,1.20985,0.00409,0.87282,0.34474,0.45139,0.30384,1.30191,1.21829,0.00494,0.000495041,0.000495041,0.000495041
25,220.789,1.21909,1.16969,0.00479,0.87522,0.38719,0.47269,0.30703,1.2886,1.14469,0.00473,0.000477043,0.000477043,0.000477043
26,228.257,1.15206,1.08159,0.00394,0.8247,0.43605,0.46732,0.31296,1.25916,1.09153,0.00496,0.000459045,0.000459045,0.000459045
27,239.514,1.19792,1.19239,0.00372,0.79128,0.45347,0.47963,0.30545,1.29603,1.0992,0.00511,0.000441047,0.000441047,0.000441047
28,245.935,1.16592,1.1943,0.00465,0.79804,0.44416,0.47574,0.30811,1.28063,1.216,0.00501,0.000423049,0.000423049,0.000423049
29,252.371,1.24696,1.16279,0.00456,0.83768,0.42742,0.4729,0.3201,1.27582,1.15998,0.00515,0.00040505,0.00040505,0.00040505
30,264.107,1.23841,1.13053,0.00451,0.82742,0.43467,0.48316,0.33271,1.21774,1.1255,0.00498,0.000387052,0.000387052,0.000387052
31,275.199,1.189,1.06897,0.00448,0.77425,0.45251,0.48822,0.33314,1.22771,1.07015,0.0048,0.000369054,0.000369054,0.000369054
32,281.934,1.24439,1.15421,0.0044,0.74151,0.45563,0.48275,0.33247,1.25609,1.04188,0.00498,0.000351056,0.000351056,0.000351056
33,288.496,1.12736,0.9701,0.00395,0.76869,0.46371,0.49049,0.32937,1.23275,1.0216,0.00481,0.000333058,0.000333058,0.000333058
34,294.725,1.21552,1.10034,0.00453,0.85326,0.43122,0.49489,0.32884,1.19952,0.97956,0.00474,0.000315059,0.000315059,0.000315059
35,301.297,1.23568,1.09675,0.0054,0.85446,0.4313,0.48635,0.32982,1.19699,0.98298,0.0047,0.000297061,0.000297061,0.000297061
36,307.525,1.1498,0.99983,0.00435,0.84424,0.43961,0.48451,0.32392,1.21637,1.04755,0.00444,0.000279063,0.000279063,0.000279063
37,314.153,1.12033,0.93794,0.00371,0.80655,0.45539,0.48201,0.32485,1.23467,1.04737,0.00446,0.000261065,0.000261065,0.000261065
38,320.396,1.18697,0.92044,0.00362,0.7731,0.45004,0.48042,0.33105,1.18521,1.08208,0.00431,0.000243067,0.000243067,0.000243067
39,326.819,1.09207,0.96173,0.00435,0.78988,0.44961,0.48136,0.33704,1.15309,1.09661,0.00422,0.000225068,0.000225068,0.000225068
40,335.493,1.12646,0.94337,0.00343,0.84624,0.40629,0.48776,0.34255,1.17295,1.06022,0.00428,0.00020707,0.00020707,0.00020707
41,347.009,1.10133,0.92918,0.00458,0.81344,0.41648,0.49049,0.343,1.19724,1.02027,0.00436,0.000189072,0.000189072,0.000189072
42,354,1.04873,0.90087,0.00458,0.83347,0.41912,0.49274,0.34259,1.20639,1.01186,0.00433,0.000171074,0.000171074,0.000171074
43,360.1,1.07567,0.87989,0.00413,0.84361,0.41596,0.49208,0.34236,1.19746,1.02339,0.0044,0.000153076,0.000153076,0.000153076
